Name,id,latitude,longitude,predictions
SAN DIEGO (Broadway),9410170,32.7142,-117.1736,Harmonic
La Jolla (Scripps Institution Wharf),9410230,32.8667,-117.258,Harmonic
"Newport Bay Entrance, Corona del Mar",9410580,33.6033,-117.883,Harmonic
"Long Beach, Terminal Island",9410680,33.7517,-118.227,Harmonic
LOS ANGELES (Outer Harbor),9410660,33.72,-118.272,Harmonic
"Santa Monica, Municipal Pier",9410840,34.0083,-118.5,Harmonic
Santa Barbara,9411340,34.4083,-119.685,Harmonic
"Gaviota State Park, Pacific Ocean",9411399,34.4694,-120.2283,Harmonic
Oil Platform Harvest,9411406,34.4683,-120.673,Harmonic
PORT SAN LUIS,9412110,35.1767,-120.76,Harmonic
Mansfield Cone,9412802,35.9495,-121.4819,Harmonic
"MONTEREY, MONTEREY BAY",9413450,36.605,-121.888,Harmonic
"Kirby Park, Elkhorn Slough",9413651,36.8413,-121.7453,Harmonic
Elkhorn Slough railroad bridge,9413663,36.8567,-121.755,Harmonic
"Pillar Point Harbor, Half Moon Bay",9414131,37.5025,-122.4822,Harmonic
SAN FRANCISCO (Golden Gate),9414290,37.8067,-122.465,Harmonic
"Rincon Point, Pier 22 1/2",9414317,37.79,-122.387,Harmonic
Oakland Inner Harbor,9414764,37.795,-122.282,Harmonic
Alameda,9414750,37.7717,-122.2983,Harmonic
"Oakland Harbor, Park Street Bridge",9414746,37.7717,-122.235,Harmonic
Hunters Point,9414358,37.73,-122.357,Harmonic
San Leandro Marina,9414688,37.695,-122.192,Harmonic
San Mateo Bridge (west end),9414458,37.58,-122.253,Harmonic
"Redwood City, Wharf 5",9414523,37.5067,-122.21,Harmonic
Dumbarton Highway Bridge,9414509,37.5067,-122.115,Harmonic
"Coyote Creek, Alviso Slough",9414575,37.465,-122.023,Harmonic
"Chevron Oil Company Pier, Richmond",9414863,37.9283,-122.4,Harmonic
Mare Island,9415218,38.07,-122.25,Harmonic
Crockett,9415143,38.0583,-122.223,Harmonic
Martinez-Amorco Pier,9415102,38.0346,-122.1252,Harmonic
Suisun Slough entrance,9415265,38.1283,-122.073,Harmonic
"PORT CHICAGO, SUISUN BAY",9415144,38.056,-122.0395,Harmonic
"Bradmoor Island, Nurse Slough",9414811,38.1833,-121.923,Harmonic
Mallard Island Ferry Wharf,9415112,38.0433,-121.918,Harmonic
Antioch,9415064,38.02,-121.815,Harmonic
Rio Vista,9415316,38.145,-121.692,Harmonic
Pinole Point,9415056,38.015,-122.363,Harmonic
Sonoma Creek,9415338,38.1567,-122.407,Harmonic
Bolinas Lagoon,9414958,37.908,-122.6785,Harmonic
Point Reyes,9415020,37.9961,-122.9767,Harmonic
Green Cove,9416409,38.7043,-123.4494,Harmonic
ARENA COVE,9416841,38.9133,-123.708,Harmonic
NOYO HARBOR,9417426,39.4258,-123.8051,Harmonic
HUMBOLDT BAY (North Spit),9418767,40.7667,-124.217,Harmonic
Fields Landing,9418723,40.7233,-124.222,Harmonic
Samoa,9418817,40.8267,-124.18,Harmonic
CRESCENT CITY,9419750,41.745,-124.183,Harmonic
"Pyramid Point, Smith River",9419945,41.9453,-124.2009,Harmonic